gaussian, graph, segmentation, output
36297, 87021, 470883, 338088
36197, 87080, 470850, 337646
36235, 87022, 471105, 338179
36138, 87017, 470758, 336999
36422, 87020, 471228, 339953
36205, 86907, 470363, 337649
36132, 86985, 471394, 337855
36308, 86906, 470405, 332900
36202, 86831, 470998, 334604
36531, 86891, 470405, 343489
36234, 87008, 471262, 331971
36181, 86766, 470486, 357993
36293, 86949, 470884, 337242
36164, 86923, 470497, 338422
36155, 86825, 471525, 339859
36392, 86718, 470737, 337847
36258, 86778, 471787, 340247
36328, 86875, 471289, 332857
36477, 86808, 471881, 332274
36272, 86708, 471226, 337393
