gaussian, graph, segmentation, output
14460, 24172, 128172, 63531
14549, 24136, 127764, 63480
14413, 24135, 128347, 69368
14681, 24203, 127825, 62981
14521, 24237, 128420, 61941
14477, 24199, 134375, 63168
14455, 24224, 128507, 63389
14592, 23783, 128124, 65770
14486, 23762, 128345, 63524
14436, 23698, 127853, 63475
15158, 23815, 128434, 63451
14471, 23758, 128038, 62537
14460, 23747, 128358, 63507
14457, 23827, 128068, 69896
15143, 23870, 128510, 65550
14534, 23777, 127996, 61982
15102, 23921, 128411, 65915
14578, 23841, 128286, 63248
14731, 23958, 128262, 63545
14630, 23846, 128003, 69483
