gaussian, graph, segmentation, output
21974, 44879, 245401, 172631
21723, 44933, 245456, 173028
21947, 45041, 244987, 166426
21806, 44948, 245289, 166853
21891, 44896, 245297, 170824
21776, 44908, 245782, 171027
21931, 44776, 245259, 172599
21802, 44886, 245461, 172890
21743, 46388, 245394, 170132
21848, 44774, 245563, 170514
21798, 44810, 244919, 175434
21717, 44769, 245211, 174824
21889, 44744, 244952, 173183
21889, 44842, 245636, 173788
21760, 44702, 245260, 169343
21811, 44673, 245334, 169123
21766, 44949, 245462, 175585
21919, 44530, 245269, 175363
21695, 44444, 245182, 175506
21833, 44447, 245354, 175511
