gaussian, graph, segmentation, output
7774, 5888, 24059, 9795
7792, 5945, 24040, 9878
7630, 5920, 23946, 9788
7874, 5936, 24149, 9929
7738, 5980, 24108, 9750
8080, 6029, 23977, 9701
7696, 5970, 23957, 9779
7914, 6032, 24129, 9653
7759, 6107, 24013, 9561
7766, 6010, 24116, 9700
7709, 6067, 23941, 11182
7942, 6148, 24036, 9851
7739, 6175, 24148, 10064
7936, 6127, 24079, 9768
7747, 6118, 24203, 10138
7837, 6225, 24131, 9952
7720, 6257, 24077, 9643
7852, 6217, 24014, 9773
7733, 6209, 24101, 9582
7869, 6242, 24152, 10333
