gaussian, graph, segmentation, output
8668, 8305, 38424, 16681
8628, 8423, 38179, 17184
8616, 8392, 38489, 16495
8659, 8389, 38177, 16305
8649, 8349, 38484, 17287
8630, 8338, 38176, 18547
8824, 8320, 38631, 16864
8687, 8420, 38214, 16319
8626, 8397, 38470, 17412
8658, 8415, 38209, 17180
8693, 8416, 38464, 16469
8940, 8479, 38241, 17247
8673, 8431, 38485, 16352
8672, 8434, 38184, 16583
8643, 8430, 38557, 16766
8656, 8399, 38180, 16590
8653, 8645, 38657, 16767
8653, 8445, 38269, 16546
10487, 8448, 38729, 18269
8772, 8367, 38308, 16560
