gaussian, graph, segmentation, output
1367, 2930, 11994, 3616
1210, 2967, 13105, 3835
1299, 3088, 12111, 3825
1124, 3047, 12242, 3688
1120, 3201, 12266, 3703
1279, 3230, 12184, 3819
1265, 3137, 12142, 3688
1267, 3196, 12072, 3643
1395, 3087, 12412, 3667
1314, 3213, 11983, 3642
1401, 3080, 12437, 3665
1305, 3146, 11967, 3711
1380, 3067, 12417, 3645
1250, 3229, 12142, 3639
1382, 3056, 12354, 3766
1253, 3257, 12022, 3777
1414, 3008, 12411, 3767
1245, 3249, 12035, 3733
1432, 3060, 12358, 3754
1239, 3277, 11910, 3692
