gaussian, graph, segmentation, output
10918, 14136, 69387, 34241
10882, 14120, 71780, 39650
10996, 14209, 69190, 34279
10739, 14148, 69541, 34424
10810, 14189, 69259, 35410
10833, 14071, 69230, 34317
10787, 13895, 69352, 35386
10786, 13864, 69300, 35477
12651, 14040, 69461, 38185
10927, 13865, 69517, 34280
10830, 13897, 69631, 33783
11386, 13966, 69356, 41428
11385, 13859, 69375, 35641
10786, 13906, 69633, 35528
10840, 13815, 69455, 33582
10832, 13812, 69480, 35519
10840, 13773, 69549, 34295
10810, 13881, 69278, 33714
10811, 13926, 69382, 34124
10851, 13995, 69247, 33585
