gaussian, graph, segmentation, output
12126, 107857, 193668, 35172
12189, 107783, 194380, 35597
12142, 107918, 192599, 35535
12102, 107752, 195323, 35266
12074, 107734, 195055, 35537
12057, 107550, 193588, 35538
12163, 108028, 195226, 35689
12079, 107944, 196422, 35229
12227, 107920, 193725, 35916
12174, 107793, 195690, 35838
12104, 107888, 196184, 35707
12118, 107776, 195052, 35457
12131, 107706, 195083, 35560
12116, 107695, 195629, 35565
12120, 107857, 192448, 35257
12091, 107579, 194970, 36141
12151, 107712, 194451, 35566
12093, 107697, 194538, 35390
12114, 107508, 193873, 34746
11977, 107562, 194883, 34886
