gaussian, graph, segmentation, output
21607, 213327, 383755, 68565
21723, 213349, 386265, 68880
21556, 213195, 382599, 68479
21448, 212835, 382156, 68474
21437, 213322, 384700, 68450
21417, 212774, 388225, 68430
21713, 212903, 384826, 68428
21812, 213330, 384632, 68464
21503, 213192, 382560, 68466
21443, 212898, 386853, 68499
21513, 213154, 382309, 68775
21478, 213020, 388610, 68429
21468, 212787, 383216, 68772
21438, 213318, 382968, 68442
21496, 213086, 384001, 68453
21412, 212702, 382358, 69282
21746, 213088, 383411, 68482
21521, 212930, 383362, 69353
21463, 212976, 384074, 69134
21480, 212913, 386557, 69171
