gaussian, graph, segmentation, output
4525, 26752, 47729, 6906
4544, 26657, 47655, 7289
4616, 26575, 47569, 7063
4609, 26580, 47737, 7056
4568, 26679, 47919, 6960
4577, 26439, 47626, 7131
4628, 26681, 47625, 6967
4590, 26604, 47496, 7013
4558, 26685, 47473, 7141
4591, 26686, 47421, 6978
4544, 26695, 47563, 6954
4562, 26637, 47470, 7510
4689, 26600, 47644, 7186
4713, 26534, 47464, 7122
4658, 26680, 47764, 7199
4627, 26638, 47800, 7106
4685, 26624, 47571, 7109
4676, 26679, 47419, 7103
4628, 26745, 47633, 7106
4691, 26625, 47653, 7856
