gaussian, graph, segmentation, output
2926, 6428, 12755, 2183
2960, 6452, 12753, 2079
2847, 6444, 12753, 1909
2901, 6452, 12790, 1908
2826, 6482, 12767, 1885
2831, 6527, 12744, 1901
2869, 6479, 12765, 1921
2848, 6437, 12790, 1889
2855, 6449, 12766, 1896
2875, 6476, 12789, 1916
2873, 6467, 12779, 1889
2833, 6456, 12733, 1876
2843, 6440, 12774, 1883
2874, 6463, 12797, 1921
2834, 6458, 12798, 1883
2843, 6497, 12785, 1894
2874, 6447, 12762, 1903
2864, 6441, 12797, 1876
2837, 6455, 12778, 1892
2870, 6467, 12769, 1905
