gaussian, graph, segmentation, output
3414, 12943, 26960, 3600
3390, 12896, 27013, 3558
3418, 12848, 26948, 3574
3374, 12828, 26949, 3572
3409, 12869, 26889, 3565
3388, 12925, 26894, 3598
3419, 12954, 26930, 3652
3425, 12897, 26899, 3606
3422, 12883, 26859, 3587
3426, 12879, 26943, 3586
3409, 12900, 26877, 3588
3411, 12894, 26908, 3572
3431, 12849, 26913, 3601
3416, 12896, 26942, 5708
3473, 12866, 26912, 3585
3427, 12899, 26949, 3565
3408, 12888, 26944, 3568
3417, 12889, 26974, 3560
3406, 12887, 26886, 3570
3413, 12953, 26942, 3566
