gaussian, graph, segmentation, output
12058, 136377, 922971, 135499
11982, 135023, 932473, 135622
11957, 135376, 922435, 135173
12015, 135312, 928639, 136306
12021, 135869, 924318, 136003
12021, 135780, 925254, 153271
12098, 135359, 921784, 136461
12206, 135159, 927257, 153726
12179, 134386, 923970, 135563
12031, 134928, 925248, 136294
11933, 134641, 921590, 135631
12009, 135572, 926300, 136050
12139, 135244, 921380, 135780
12029, 134630, 927524, 135941
12033, 135162, 922900, 135471
12076, 135036, 942277, 135787
11941, 134902, 938990, 135706
12054, 134895, 941756, 136251
12113, 135426, 936402, 135012
11996, 135792, 940047, 135687
