gaussian, graph, segmentation, output
4896, 35269, 228823, 32428
4675, 35418, 229195, 32583
4673, 35638, 227421, 31851
4693, 35820, 230353, 31385
4710, 35692, 227578, 32345
4696, 35762, 230126, 32530
4667, 35670, 228497, 31873
4796, 35393, 229572, 32673
4821, 35011, 228260, 36208
4858, 34927, 229311, 32607
4721, 35501, 227957, 31808
4705, 35713, 229211, 32581
4687, 35553, 227137, 32319
4803, 35685, 228169, 32740
4741, 35694, 227708, 32400
4694, 35414, 228698, 32051
4680, 35742, 228628, 32142
4731, 35757, 229472, 32521
4711, 35481, 227938, 31819
4729, 35814, 229519, 32011
