gaussian, graph, segmentation, output
21160, 261770, 1852808, 266208
21451, 262226, 1858480, 266057
21234, 261951, 1853653, 265532
21192, 261675, 1861131, 266164
21262, 261181, 1856005, 265602
21211, 260900, 1857069, 265807
21112, 261552, 1857808, 266245
21268, 260874, 1860454, 266075
21210, 262051, 1859869, 264798
21235, 261816, 1893065, 266336
21272, 261319, 1852498, 265444
21223, 261441, 1860252, 266062
21221, 261800, 1853349, 265114
21218, 261304, 1863540, 265776
21234, 262445, 1860064, 265310
21133, 262901, 1863680, 265881
21198, 260623, 1882977, 265181
21168, 262104, 1892026, 266239
21170, 262554, 1882496, 265458
21209, 261074, 1894752, 266059
