gaussian, graph, segmentation, output
7175, 71784, 463672, 53716
7195, 72185, 465422, 53831
7163, 71794, 464541, 61017
7263, 71837, 468111, 53731
7193, 71534, 464569, 53497
7191, 72215, 468014, 53830
7209, 71884, 463770, 53459
7219, 72730, 464474, 52685
7260, 72157, 463878, 52640
7261, 72175, 468840, 60895
7292, 71988, 463703, 52353
7214, 72450, 468095, 54004
7227, 71659, 464385, 60874
7319, 72190, 466248, 54652
7218, 71827, 465300, 53487
7268, 72110, 466292, 59751
7289, 72032, 465378, 52543
7264, 72469, 464826, 54658
7226, 72259, 464419, 61021
7278, 72254, 466725, 52707
