gaussian, graph, segmentation, output
3372, 9850, 66661, 9664
3054, 10190, 68795, 9792
2897, 9952, 67329, 9517
2786, 9919, 67979, 9775
2824, 10417, 67497, 9729
2743, 10329, 68513, 9768
2759, 9767, 67641, 12820
2880, 10348, 68300, 9787
2750, 10275, 67061, 9528
2772, 9727, 68742, 9807
2769, 10004, 67218, 9580
2799, 10487, 67543, 9707
2801, 9755, 67309, 9724
2795, 9940, 68162, 9831
2784, 10255, 67471, 9653
2786, 10122, 67880, 10034
2805, 9676, 67425, 9768
2787, 9546, 68159, 9846
2787, 10301, 67088, 9777
2769, 9959, 69520, 9916
