output,ground_truth,out_N,gt_N,asa_score,ue_score
dumps/cuda-mst-naive-new-fixed-K160-E1/100007_OUT.png,dataset/BSDS500/ground_truth/100007_0.png,100,5,0.981496,0.0370075
dumps/cuda-mst-naive-new-fixed-K160-E1/100007_OUT.png,dataset/BSDS500/ground_truth/100007_1.png,100,7,0.974417,0.0507574
dumps/cuda-mst-naive-new-fixed-K160-E1/100007_OUT.png,dataset/BSDS500/ground_truth/100007_2.png,100,8,0.935829,0.1277
dumps/cuda-mst-naive-new-fixed-K160-E1/100007_OUT.png,dataset/BSDS500/ground_truth/100007_3.png,100,13,0.962636,0.0744231
dumps/cuda-mst-naive-new-fixed-K160-E1/100007_OUT.png,dataset/BSDS500/ground_truth/100007_4.png,100,19,0.95252,0.0918776
dumps/cuda-mst-naive-new-fixed-K160-E1/100039_OUT.png,dataset/BSDS500/ground_truth/100039_0.png,150,11,0.874891,0.24698
dumps/cuda-mst-naive-new-fixed-K160-E1/100039_OUT.png,dataset/BSDS500/ground_truth/100039_1.png,150,61,0.750332,0.473922
dumps/cuda-mst-naive-new-fixed-K160-E1/100039_OUT.png,dataset/BSDS500/ground_truth/100039_2.png,150,4,0.894942,0.209947
dumps/cuda-mst-naive-new-fixed-K160-E1/100039_OUT.png,dataset/BSDS500/ground_truth/100039_3.png,150,5,0.891691,0.216242
dumps/cuda-mst-naive-new-fixed-K160-E1/100039_OUT.png,dataset/BSDS500/ground_truth/100039_4.png,150,21,0.81969,0.350412
dumps/cuda-mst-naive-new-fixed-K160-E1/100075_OUT.png,dataset/BSDS500/ground_truth/100075_0.png,101,18,0.854625,0.288781
dumps/cuda-mst-naive-new-fixed-K160-E1/100075_OUT.png,dataset/BSDS500/ground_truth/100075_1.png,101,5,0.900752,0.198496
dumps/cuda-mst-naive-new-fixed-K160-E1/100075_OUT.png,dataset/BSDS500/ground_truth/100075_2.png,101,13,0.84471,0.305613
dumps/cuda-mst-naive-new-fixed-K160-E1/100075_OUT.png,dataset/BSDS500/ground_truth/100075_3.png,101,16,0.836083,0.324013
dumps/cuda-mst-naive-new-fixed-K160-E1/100075_OUT.png,dataset/BSDS500/ground_truth/100075_4.png,101,30,0.823,0.347051
dumps/cuda-mst-naive-new-fixed-K160-E1/100075_OUT.png,dataset/BSDS500/ground_truth/100075_5.png,101,16,0.820999,0.353107
dumps/cuda-mst-naive-new-fixed-K160-E1/100080_OUT.png,dataset/BSDS500/ground_truth/100080_0.png,69,7,0.911646,0.176469
dumps/cuda-mst-naive-new-fixed-K160-E1/100080_OUT.png,dataset/BSDS500/ground_truth/100080_1.png,69,35,0.711912,0.574141
dumps/cuda-mst-naive-new-fixed-K160-E1/100080_OUT.png,dataset/BSDS500/ground_truth/100080_2.png,69,4,0.856167,0.287667
dumps/cuda-mst-naive-new-fixed-K160-E1/100080_OUT.png,dataset/BSDS500/ground_truth/100080_3.png,69,27,0.776634,0.4465
dumps/cuda-mst-naive-new-fixed-K160-E1/100080_OUT.png,dataset/BSDS500/ground_truth/100080_4.png,69,12,0.882753,0.23426
dumps/cuda-mst-naive-new-fixed-K160-E1/100098_OUT.png,dataset/BSDS500/ground_truth/100098_0.png,179,67,0.822857,0.344577
dumps/cuda-mst-naive-new-fixed-K160-E1/100098_OUT.png,dataset/BSDS500/ground_truth/100098_1.png,179,45,0.81798,0.353281
dumps/cuda-mst-naive-new-fixed-K160-E1/100098_OUT.png,dataset/BSDS500/ground_truth/100098_2.png,179,22,0.839023,0.315477
dumps/cuda-mst-naive-new-fixed-K160-E1/100098_OUT.png,dataset/BSDS500/ground_truth/100098_3.png,179,2,0.93559,0.12882
dumps/cuda-mst-naive-new-fixed-K160-E1/100098_OUT.png,dataset/BSDS500/ground_truth/100098_4.png,179,24,0.802417,0.381934
dumps/cuda-mst-naive-new-fixed-K160-E1/100099_OUT.png,dataset/BSDS500/ground_truth/100099_0.png,43,7,0.886821,0.226359
dumps/cuda-mst-naive-new-fixed-K160-E1/100099_OUT.png,dataset/BSDS500/ground_truth/100099_1.png,43,8,0.788363,0.423268
dumps/cuda-mst-naive-new-fixed-K160-E1/100099_OUT.png,dataset/BSDS500/ground_truth/100099_2.png,43,4,0.88241,0.235173
dumps/cuda-mst-naive-new-fixed-K160-E1/100099_OUT.png,dataset/BSDS500/ground_truth/100099_3.png,43,6,0.784425,0.431144
dumps/cuda-mst-naive-new-fixed-K160-E1/100099_OUT.png,dataset/BSDS500/ground_truth/100099_4.png,43,6,0.781789,0.436422
dumps/cuda-mst-naive-new-fixed-K160-E1/10081_OUT.png,dataset/BSDS500/ground_truth/10081_0.png,109,20,0.937397,0.124177
dumps/cuda-mst-naive-new-fixed-K160-E1/10081_OUT.png,dataset/BSDS500/ground_truth/10081_1.png,109,11,0.958277,0.0807443
dumps/cuda-mst-naive-new-fixed-K160-E1/10081_OUT.png,dataset/BSDS500/ground_truth/10081_2.png,109,6,0.951082,0.0974281
dumps/cuda-mst-naive-new-fixed-K160-E1/10081_OUT.png,dataset/BSDS500/ground_truth/10081_3.png,109,16,0.942993,0.113542
dumps/cuda-mst-naive-new-fixed-K160-E1/10081_OUT.png,dataset/BSDS500/ground_truth/10081_4.png,109,18,0.926341,0.146994
dumps/cuda-mst-naive-new-fixed-K160-E1/101027_OUT.png,dataset/BSDS500/ground_truth/101027_0.png,139,9,0.870538,0.25834
dumps/cuda-mst-naive-new-fixed-K160-E1/101027_OUT.png,dataset/BSDS500/ground_truth/101027_1.png,139,15,0.868459,0.258101
dumps/cuda-mst-naive-new-fixed-K160-E1/101027_OUT.png,dataset/BSDS500/ground_truth/101027_2.png,139,12,0.838887,0.311365
dumps/cuda-mst-naive-new-fixed-K160-E1/101027_OUT.png,dataset/BSDS500/ground_truth/101027_3.png,139,12,0.8698,0.257757
dumps/cuda-mst-naive-new-fixed-K160-E1/101027_OUT.png,dataset/BSDS500/ground_truth/101027_4.png,139,8,0.886497,0.226404
dumps/cuda-mst-naive-new-fixed-K160-E1/101084_OUT.png,dataset/BSDS500/ground_truth/101084_0.png,131,9,0.90559,0.186495
dumps/cuda-mst-naive-new-fixed-K160-E1/101084_OUT.png,dataset/BSDS500/ground_truth/101084_1.png,131,23,0.899586,0.198541
dumps/cuda-mst-naive-new-fixed-K160-E1/101084_OUT.png,dataset/BSDS500/ground_truth/101084_2.png,131,12,0.901607,0.194604
dumps/cuda-mst-naive-new-fixed-K160-E1/101084_OUT.png,dataset/BSDS500/ground_truth/101084_3.png,131,51,0.762165,0.443099
dumps/cuda-mst-naive-new-fixed-K160-E1/101084_OUT.png,dataset/BSDS500/ground_truth/101084_4.png,131,18,0.881115,0.23777
dumps/cuda-mst-naive-new-fixed-K160-E1/101084_OUT.png,dataset/BSDS500/ground_truth/101084_5.png,131,17,0.861899,0.272867
dumps/cuda-mst-naive-new-fixed-K160-E1/101085_OUT.png,dataset/BSDS500/ground_truth/101085_0.png,165,26,0.807793,0.370062
dumps/cuda-mst-naive-new-fixed-K160-E1/101085_OUT.png,dataset/BSDS500/ground_truth/101085_1.png,165,61,0.788071,0.398514
dumps/cuda-mst-naive-new-fixed-K160-E1/101085_OUT.png,dataset/BSDS500/ground_truth/101085_2.png,165,41,0.796193,0.391228
dumps/cuda-mst-naive-new-fixed-K160-E1/101085_OUT.png,dataset/BSDS500/ground_truth/101085_3.png,165,21,0.81403,0.361533
dumps/cuda-mst-naive-new-fixed-K160-E1/101085_OUT.png,dataset/BSDS500/ground_truth/101085_4.png,165,42,0.798978,0.381448
dumps/cuda-mst-naive-new-fixed-K160-E1/101087_OUT.png,dataset/BSDS500/ground_truth/101087_0.png,90,29,0.901413,0.197175
dumps/cuda-mst-naive-new-fixed-K160-E1/101087_OUT.png,dataset/BSDS500/ground_truth/101087_1.png,90,43,0.871173,0.257654
dumps/cuda-mst-naive-new-fixed-K160-E1/101087_OUT.png,dataset/BSDS500/ground_truth/101087_2.png,90,34,0.890376,0.219202
dumps/cuda-mst-naive-new-fixed-K160-E1/101087_OUT.png,dataset/BSDS500/ground_truth/101087_3.png,90,57,0.846542,0.306449
dumps/cuda-mst-naive-new-fixed-K160-E1/101087_OUT.png,dataset/BSDS500/ground_truth/101087_4.png,90,32,0.875318,0.249228
dumps/cuda-mst-naive-new-fixed-K160-E1/102061_OUT.png,dataset/BSDS500/ground_truth/102061_0.png,144,8,0.9548,0.0902067
dumps/cuda-mst-naive-new-fixed-K160-E1/102061_OUT.png,dataset/BSDS500/ground_truth/102061_1.png,144,12,0.837287,0.325335
dumps/cuda-mst-naive-new-fixed-K160-E1/102061_OUT.png,dataset/BSDS500/ground_truth/102061_2.png,144,7,0.961691,0.0766187
dumps/cuda-mst-naive-new-fixed-K160-E1/102061_OUT.png,dataset/BSDS500/ground_truth/102061_3.png,144,15,0.944359,0.111282
dumps/cuda-mst-naive-new-fixed-K160-E1/102061_OUT.png,dataset/BSDS500/ground_truth/102061_4.png,144,19,0.937183,0.125524
dumps/cuda-mst-naive-new-fixed-K160-E1/102062_OUT.png,dataset/BSDS500/ground_truth/102062_0.png,186,42,0.835001,0.310536
dumps/cuda-mst-naive-new-fixed-K160-E1/102062_OUT.png,dataset/BSDS500/ground_truth/102062_1.png,186,37,0.853971,0.279189
dumps/cuda-mst-naive-new-fixed-K160-E1/102062_OUT.png,dataset/BSDS500/ground_truth/102062_2.png,186,8,0.950169,0.0995784
dumps/cuda-mst-naive-new-fixed-K160-E1/102062_OUT.png,dataset/BSDS500/ground_truth/102062_3.png,186,24,0.865849,0.263709
dumps/cuda-mst-naive-new-fixed-K160-E1/102062_OUT.png,dataset/BSDS500/ground_truth/102062_4.png,186,57,0.829787,0.321157
dumps/cuda-mst-naive-new-fixed-K160-E1/103006_OUT.png,dataset/BSDS500/ground_truth/103006_0.png,152,4,0.898835,0.20233
dumps/cuda-mst-naive-new-fixed-K160-E1/103006_OUT.png,dataset/BSDS500/ground_truth/103006_1.png,152,3,0.906063,0.187874
