gaussian, graph, segmentation, output
21714, 20186, 185040, 9578
18269, 14559, 183500, 9638
18218, 13967, 183713, 9589
18276, 13942, 180309, 9546
18136, 13992, 179777, 9531
18165, 13967, 180620, 9583
18137, 13983, 181887, 9618
18210, 13959, 182086, 9557
18209, 13986, 181504, 9645
18209, 13858, 180410, 9534
18154, 13942, 179874, 9564
18111, 13925, 181859, 9589
18171, 13906, 181576, 9567
18223, 13947, 180305, 9529
18181, 13962, 182737, 9563
18226, 13981, 180570, 9616
18215, 13933, 182976, 9558
18191, 13968, 181535, 9583
18159, 13930, 182169, 9567
18381, 13981, 184023, 9617
