gaussian, graph, segmentation, output
444720, 319573, 4857885, 157175
441883, 321747, 4908501, 157201
442393, 324527, 4937802, 159045
443687, 320291, 4956411, 157172
446867, 320086, 4874996, 157450
444966, 319281, 4870662, 157025
443723, 323718, 4897118, 156918
442440, 320319, 4877471, 157755
448634, 320745, 4962970, 158635
446416, 320948, 4927951, 157739
449698, 320411, 4890733, 157778
445641, 320954, 4900771, 157620
448488, 321033, 4866024, 158342
443682, 320354, 4971888, 157436
447348, 319854, 4841052, 161561
442498, 320506, 4938691, 158152
448741, 321503, 4875373, 157931
447998, 320475, 4885340, 157847
445205, 319848, 4893013, 158282
444470, 326335, 4951108, 158320
