gaussian, graph, segmentation, output
956392, 647667, 10641521, 314704
957318, 648381, 10758520, 314696
959052, 641499, 10725984, 317504
959671, 641179, 10659308, 314807
956486, 646139, 10691568, 314494
957794, 647726, 10689110, 314673
958529, 642346, 10678054, 314948
960085, 658556, 10637625, 314990
958009, 640730, 10568185, 314651
957539, 640457, 10705053, 314310
958599, 645750, 10552174, 314441
957299, 707076, 10693517, 314707
958766, 669045, 10664513, 315382
959121, 644681, 10566804, 314183
956740, 644920, 10567669, 314733
957621, 645562, 10564612, 315101
956919, 664557, 10661287, 314805
957792, 648471, 10638482, 319784
951349, 646050, 10570336, 318786
951585, 646672, 10574348, 314117
