gaussian, graph, segmentation, output
87050, 81097, 952479, 38481
82079, 78644, 931493, 37270
73872, 78674, 931978, 37317
74194, 79157, 936113, 37571
74137, 78949, 934222, 37274
74754, 79096, 926519, 37390
75483, 79030, 933524, 37409
74072, 78753, 940469, 37495
74394, 78966, 938019, 37348
74013, 78912, 940022, 37424
74350, 78835, 937158, 37405
74253, 78984, 938580, 37428
74192, 79004, 972178, 37564
74841, 78818, 969259, 37326
75440, 78932, 940126, 37590
74385, 78923, 939573, 37383
74174, 78851, 960530, 37288
74615, 78627, 941542, 37412
74342, 78947, 931331, 37434
74511, 78823, 930862, 37274
