gaussian, graph, segmentation, output
43997, 40061, 404833, 19094
36582, 29006, 407333, 19016
36841, 27976, 407922, 19762
36715, 27910, 406642, 19147
36770, 27932, 408718, 19064
37378, 27861, 406116, 19045
36846, 27895, 405886, 19152
36734, 28624, 407468, 19067
36685, 27903, 403695, 19169
36733, 27846, 405833, 19025
36706, 27880, 407978, 19051
36717, 27826, 407416, 19083
36587, 27835, 490096, 19102
36946, 28703, 418963, 19095
36954, 27956, 430213, 19139
37718, 27948, 423283, 19092
36988, 27934, 410241, 19010
37769, 27835, 406138, 19067
36672, 27967, 405777, 19057
36668, 28798, 411052, 19156
