gaussian, graph, segmentation, output
5185, 5004, 36777, 2339
4395, 3553, 36864, 2349
4386, 3393, 36856, 2355
4401, 3425, 36746, 2355
4393, 3383, 36796, 2351
4388, 3390, 36762, 2365
4386, 3410, 36754, 2386
4402, 3410, 36800, 2355
4400, 3368, 36878, 2336
4392, 3407, 36835, 2354
4378, 3514, 36904, 2373
4389, 3527, 36844, 2370
4390, 3393, 36769, 2351
4390, 3383, 36790, 2353
4394, 3405, 36797, 2344
4395, 3546, 36797, 2370
4393, 3424, 36927, 2354
4417, 3428, 36736, 2319
4388, 3388, 36693, 2338
4392, 3388, 36730, 2341
