gaussian, graph, segmentation, output
4502877, 2610039, 50145265, 1357178
4504361, 2612047, 50358090, 1356347
4516503, 2617296, 50715646, 1350093
4511216, 2603177, 50034074, 1355792
4514881, 2600407, 49745726, 1358994
4517890, 2611408, 50021151, 1354800
4510724, 2616280, 49766986, 1363201
4507721, 2624968, 49759308, 1357400
4525759, 2608463, 49907059, 1356993
4502952, 2610592, 49707907, 1361681
4505982, 2608859, 50122833, 1355774
4524520, 2620354, 49780795, 1363550
4500083, 2610947, 50125508, 1359044
4494971, 2615030, 50294797, 1358420
4487887, 2615319, 50583181, 1360865
4500387, 2613130, 50321728, 1355601
4506303, 2617474, 50236554, 1360395
4507253, 2620257, 50279688, 1359912
4525911, 2621329, 50283780, 1357881
4504231, 2621450, 53970712, 1323419
