gaussian, graph, segmentation, output
2517, 2224, 17019, 1177
2160, 1713, 16917, 1148
2178, 1625, 17160, 1172
2161, 1661, 16996, 1185
2210, 1621, 17086, 1175
2160, 1672, 16969, 1234
2187, 1703, 17081, 1152
2167, 1721, 17019, 1172
2170, 1638, 17057, 1152
2167, 1696, 16965, 1166
2194, 1635, 16942, 1151
2170, 1716, 16979, 1151
2184, 1625, 16936, 1179
2171, 1660, 16944, 1151
2177, 1627, 16970, 1174
2163, 1684, 17053, 1152
2187, 1638, 17050, 1178
2161, 1653, 16911, 1148
2180, 1636, 17009, 1166
2225, 1686, 17031, 1153
