gaussian, graph, segmentation, output
2086419, 1280980, 22934528, 664302
2069116, 1283168, 22845476, 664431
2076589, 1283044, 23166009, 669136
2068713, 1282066, 23167402, 664758
2071748, 1281782, 23131317, 664523
2070511, 1281627, 23087760, 664769
2074715, 1283361, 23033366, 664772
2064711, 1283260, 23137100, 663894
2065519, 1287297, 23146153, 665392
2063213, 1283881, 23246901, 665734
2068274, 1285228, 23103952, 664731
2063705, 1280904, 23020169, 664594
2060777, 1281432, 23035767, 665323
2061508, 1273781, 23071215, 664664
2061202, 1282447, 23182975, 665643
2065803, 1283601, 23185659, 664233
2055310, 1283700, 23158113, 666924
2070310, 1288109, 23171681, 672754
2064811, 1277028, 23070762, 665811
2064522, 1288647, 23080278, 666935
