gaussian, graph, segmentation, output
4635, 26720, 47530, 7194
4671, 26702, 47515, 7123
4633, 26617, 47436, 7201
4684, 26729, 47393, 7572
4692, 26713, 47485, 7103
4658, 26730, 49194, 7439
4725, 26701, 47534, 7169
4721, 26638, 47441, 7107
5443, 26711, 47379, 7158
4650, 26762, 47438, 7138
4696, 26642, 47341, 7091
4618, 26684, 47543, 7158
4644, 26681, 47366, 7114
4609, 26641, 47398, 8165
4728, 26649, 47448, 7129
4632, 26703, 47434, 7146
4690, 26670, 47464, 7152
4639, 26712, 47431, 7149
4654, 26675, 47454, 7137
4628, 26613, 47515, 7297
