gaussian, graph, segmentation, output
6996, 53034, 93763, 18187
7113, 52838, 91661, 17428
6997, 53271, 91858, 17462
7038, 53141, 91845, 17705
7024, 53002, 91373, 17359
7011, 53156, 91702, 18077
7167, 52889, 90612, 17214
7091, 53021, 91266, 18181
7045, 52909, 91178, 17641
7051, 52890, 91339, 17322
6984, 52998, 92084, 17559
7066, 53107, 91149, 17605
7023, 52958, 91617, 17104
7040, 53051, 91934, 18150
7075, 52842, 91299, 17482
6981, 53043, 90709, 19429
7165, 53120, 91421, 18671
7042, 53027, 92065, 17398
7023, 52918, 91664, 17641
7070, 53029, 91364, 19421
