gaussian, graph, segmentation, output
11978, 107815, 195798, 34465
11959, 107671, 196017, 33932
11908, 107709, 194512, 34387
11935, 107729, 193020, 33903
11939, 107721, 194090, 34157
11986, 107656, 194743, 35624
12008, 107541, 194361, 34048
11975, 107653, 194180, 35485
11953, 107739, 193759, 34410
11998, 107652, 196249, 33736
11979, 107730, 195858, 33922
12032, 107861, 194690, 34909
11983, 107813, 194509, 33990
11957, 107816, 193968, 33892
12010, 107512, 193531, 34165
12048, 107619, 195016, 34445
11963, 107725, 196227, 34105
11969, 107879, 193076, 33968
11969, 107663, 197163, 33695
11978, 107681, 196096, 34736
