gaussian, graph, segmentation, output
2937, 6484, 12502, 2053
2991, 6436, 12509, 2026
2933, 6433, 12529, 2092
2966, 6473, 12541, 2080
3046, 6503, 12525, 2040
2960, 6517, 12509, 2068
2964, 6503, 12496, 2054
2992, 6452, 12564, 1999
2949, 6466, 12521, 2051
2972, 6444, 12578, 2077
2999, 6495, 12482, 2042
2926, 6508, 12531, 1968
2981, 6449, 12538, 1977
2950, 6454, 12512, 2010
2902, 6509, 12515, 2005
2900, 6546, 12490, 1964
2992, 6436, 12562, 2011
2977, 6445, 12550, 1971
2910, 6471, 12556, 2030
2984, 6460, 12512, 2031
