gaussian, graph, segmentation, output
21375, 212972, 379760, 69666
21661, 212610, 385595, 68504
21494, 212446, 386496, 68474
21476, 212579, 388663, 69046
21357, 212852, 383659, 68469
21429, 212801, 387683, 68503
21408, 212725, 385224, 68444
21649, 212924, 383788, 68452
21436, 212614, 382892, 68479
21452, 212516, 384043, 68485
21405, 212718, 383988, 68511
21468, 212643, 385125, 68467
21373, 212470, 388095, 68465
21423, 212987, 384041, 68526
21492, 212859, 386497, 68960
21504, 212481, 385145, 68497
21429, 212973, 382521, 68461
21445, 212714, 387036, 68473
21372, 212385, 382097, 68487
21417, 212645, 385953, 68504
