gaussian, graph, segmentation, output
0, 11800994, 1375959, 74717845
0, 11748709, 1425185, 75081415
0, 11833783, 1339335, 75130697
0, 11850741, 1430800, 74939370
0, 11836244, 1400770, 75051351
0, 11792463, 1370735, 74951182
0, 11831574, 1423951, 74966530
0, 11804008, 1436466, 74962802
0, 11795485, 1386513, 74908368
0, 11808244, 1377465, 74839454
0, 11822721, 1394596, 74931875
0, 11791108, 1353132, 74858433
0, 11832532, 1396277, 74958083
0, 11822052, 1416355, 75067466
0, 11825340, 1430576, 75023077
0, 11788605, 1355807, 74916640
0, 11827200, 1406373, 75070338
0, 11874670, 1397833, 74926313
0, 11816473, 1403743, 74776695
0, 11815736, 1416819, 75052931
