gaussian, graph, segmentation, output
0, 88988, 31546, 415545
0, 84693, 31603, 415033
0, 84625, 31574, 417884
0, 87903, 31733, 414466
0, 84689, 31801, 414967
0, 84613, 31743, 415022
0, 84788, 31557, 415168
0, 84899, 31628, 414068
0, 84723, 31690, 415774
0, 84806, 31388, 416672
0, 88960, 32736, 415598
0, 84703, 31600, 415346
0, 84791, 31480, 414776
0, 84883, 31516, 415594
0, 84854, 31467, 414181
0, 84664, 31387, 414713
0, 84783, 31565, 414378
0, 85220, 31583, 414975
0, 84660, 31457, 414908
0, 84682, 31956, 418024
