gaussian, graph, segmentation, output
0, 1470613, 238046, 7607880
0, 1464462, 178237, 7624489
0, 1473384, 177519, 7629256
0, 1462066, 175722, 7654671
0, 1474491, 217328, 7656487
0, 1463720, 178822, 7672989
0, 1469631, 177550, 7662967
0, 1469150, 181414, 7622588
0, 1458300, 186060, 7632363
0, 1471074, 176167, 7633691
0, 1459968, 178982, 7658996
0, 1470174, 176525, 7624830
0, 1459421, 176121, 7655395
0, 1468148, 178578, 7643625
0, 1459020, 175459, 7649504
0, 1460294, 178914, 7625083
0, 1472657, 193312, 7628555
0, 1460452, 177268, 7621149
0, 1458260, 176551, 7630875
0, 1459673, 185130, 7659014
