gaussian, graph, segmentation, output
0, 178069, 41761, 832566
0, 176371, 42096, 827830
0, 169337, 41643, 828148
0, 169601, 41840, 828864
0, 169579, 41635, 833350
0, 175951, 41847, 828234
0, 169218, 41622, 827987
0, 169232, 41666, 827340
0, 169579, 41848, 827466
0, 169391, 41617, 832569
0, 176293, 41909, 827783
0, 169293, 41896, 827845
0, 169542, 41789, 830760
0, 176635, 42698, 827662
0, 169423, 41656, 827743
0, 169306, 41706, 829747
0, 169324, 41725, 828402
0, 169722, 41700, 827560
0, 169416, 41788, 827373
0, 169456, 41716, 827660
