gaussian, graph, segmentation, output
0, 5921859, 660084, 34539452
0, 5899372, 672396, 34446083
0, 5889812, 682760, 34510637
0, 5890584, 686665, 34529851
0, 5920751, 676583, 34489282
0, 5896635, 680961, 34432250
0, 5903930, 688424, 34465570
0, 5875352, 663807, 34581651
0, 5875048, 652724, 34544293
0, 5872281, 666584, 34475311
0, 5905679, 697617, 34428286
0, 5888683, 729593, 34548888
0, 5882367, 643040, 34424009
0, 5871422, 668286, 34390392
0, 5922554, 701473, 34457998
0, 5897483, 745479, 34332896
0, 5845912, 652336, 34507011
0, 5885287, 684253, 34433110
0, 5935598, 699951, 34368756
0, 5882636, 681895, 34497945
