gaussian, graph, segmentation, output
0, 372988, 59488, 1712807
0, 342521, 59089, 1698666
0, 368119, 59119, 1665072
0, 339206, 59258, 1674070
0, 353297, 62547, 1675558
0, 351869, 62501, 1677043
0, 362618, 62784, 1676330
0, 352920, 62713, 1669700
0, 357840, 63838, 1666425
0, 341724, 62244, 1664338
0, 339347, 62075, 1667496
0, 340341, 61944, 1664259
0, 339975, 62182, 1664337
0, 339265, 62178, 1660878
0, 339404, 62088, 1666519
0, 339314, 62380, 1663228
0, 343267, 62760, 1678180
0, 352063, 62153, 1663657
0, 340089, 62008, 1677829
0, 351694, 62800, 1668798
