gaussian, graph, segmentation, output
0, 2944648, 381168, 15406585
0, 2951609, 335192, 15655337
0, 2948066, 351199, 15621300
0, 2944211, 328084, 15605770
0, 2941747, 327246, 15589701
0, 2931632, 337221, 15551885
0, 2931155, 332196, 15591429
0, 2936178, 327841, 15540930
0, 2929845, 346263, 15596967
0, 2933043, 338228, 15569076
0, 2934891, 329197, 15598177
0, 2932511, 347112, 15575142
0, 2933499, 327675, 15610846
0, 2948383, 335666, 15568551
0, 2925016, 346987, 15568228
0, 2935670, 336997, 15558595
0, 2926036, 327616, 15576062
0, 2932902, 343257, 15543618
0, 2934329, 328473, 15575058
0, 2937951, 333309, 15563671
