gaussian, graph, segmentation, output
0, 44683, 11885, 186563
0, 42320, 11931, 186342
0, 42421, 11862, 186596
0, 42573, 11918, 186227
0, 42305, 11851, 186624
0, 42399, 11911, 186359
0, 42374, 11856, 188212
0, 44167, 12277, 186302
0, 42387, 12033, 186556
0, 42335, 11959, 186088
0, 42364, 11921, 186231
0, 42173, 11863, 186880
0, 42461, 11861, 186658
0, 42362, 11928, 186622
0, 42269, 11850, 186612
0, 42244, 11862, 186890
0, 42359, 11939, 186919
0, 42459, 11891, 186367
0, 42316, 11867, 186287
0, 42332, 11914, 187034
