output,ground_truth,out_N,gt_N,asa_score,ue_score
dumps/cpu-baseline-K320/100007_OUT.png,dataset/BSDS500/ground_truth/100007_0.png,155,5,0.98022,0.0395593
dumps/cpu-baseline-K320/100007_OUT.png,dataset/BSDS500/ground_truth/100007_1.png,155,7,0.969469,0.0522276
dumps/cpu-baseline-K320/100007_OUT.png,dataset/BSDS500/ground_truth/100007_2.png,155,8,0.948757,0.102486
dumps/cpu-baseline-K320/100007_OUT.png,dataset/BSDS500/ground_truth/100007_3.png,155,13,0.968821,0.0622405
dumps/cpu-baseline-K320/100007_OUT.png,dataset/BSDS500/ground_truth/100007_4.png,155,19,0.936911,0.113762
dumps/cpu-baseline-K320/100039_OUT.png,dataset/BSDS500/ground_truth/100039_0.png,254,11,0.947332,0.10531
dumps/cpu-baseline-K320/100039_OUT.png,dataset/BSDS500/ground_truth/100039_1.png,254,61,0.735669,0.503248
dumps/cpu-baseline-K320/100039_OUT.png,dataset/BSDS500/ground_truth/100039_2.png,254,4,0.966613,0.0667483
dumps/cpu-baseline-K320/100039_OUT.png,dataset/BSDS500/ground_truth/100039_3.png,254,5,0.963323,0.0733544
dumps/cpu-baseline-K320/100039_OUT.png,dataset/BSDS500/ground_truth/100039_4.png,254,21,0.866575,0.266475
dumps/cpu-baseline-K320/100075_OUT.png,dataset/BSDS500/ground_truth/100075_0.png,178,18,0.714296,0.564517
dumps/cpu-baseline-K320/100075_OUT.png,dataset/BSDS500/ground_truth/100075_1.png,178,5,0.827352,0.340088
dumps/cpu-baseline-K320/100075_OUT.png,dataset/BSDS500/ground_truth/100075_2.png,178,13,0.726822,0.539258
dumps/cpu-baseline-K320/100075_OUT.png,dataset/BSDS500/ground_truth/100075_3.png,178,16,0.703959,0.587108
dumps/cpu-baseline-K320/100075_OUT.png,dataset/BSDS500/ground_truth/100075_4.png,178,30,0.658007,0.660598
dumps/cpu-baseline-K320/100075_OUT.png,dataset/BSDS500/ground_truth/100075_5.png,178,16,0.692632,0.608791
dumps/cpu-baseline-K320/100080_OUT.png,dataset/BSDS500/ground_truth/100080_0.png,116,7,0.918045,0.163911
dumps/cpu-baseline-K320/100080_OUT.png,dataset/BSDS500/ground_truth/100080_1.png,116,35,0.770571,0.458857
dumps/cpu-baseline-K320/100080_OUT.png,dataset/BSDS500/ground_truth/100080_2.png,116,4,0.877358,0.245283
dumps/cpu-baseline-K320/100080_OUT.png,dataset/BSDS500/ground_truth/100080_3.png,116,27,0.802819,0.394363
dumps/cpu-baseline-K320/100080_OUT.png,dataset/BSDS500/ground_truth/100080_4.png,116,12,0.939949,0.120058
dumps/cpu-baseline-K320/100098_OUT.png,dataset/BSDS500/ground_truth/100098_0.png,367,67,0.894347,0.209442
dumps/cpu-baseline-K320/100098_OUT.png,dataset/BSDS500/ground_truth/100098_1.png,367,45,0.887177,0.223405
dumps/cpu-baseline-K320/100098_OUT.png,dataset/BSDS500/ground_truth/100098_2.png,367,22,0.914469,0.17097
dumps/cpu-baseline-K320/100098_OUT.png,dataset/BSDS500/ground_truth/100098_3.png,367,2,0.972157,0.0556862
dumps/cpu-baseline-K320/100098_OUT.png,dataset/BSDS500/ground_truth/100098_4.png,367,24,0.892747,0.214189
dumps/cpu-baseline-K320/100099_OUT.png,dataset/BSDS500/ground_truth/100099_0.png,78,7,0.917572,0.164856
dumps/cpu-baseline-K320/100099_OUT.png,dataset/BSDS500/ground_truth/100099_1.png,78,8,0.822307,0.355257
