output,ground_truth,out_N,gt_N,asa_score,ue_score
dumps/cpu-baseline-K640/100007_OUT.png,dataset/BSDS500/ground_truth/100007_0.png,85,5,0.981179,0.0376422
dumps/cpu-baseline-K640/100007_OUT.png,dataset/BSDS500/ground_truth/100007_1.png,85,7,0.972954,0.0464051
dumps/cpu-baseline-K640/100007_OUT.png,dataset/BSDS500/ground_truth/100007_2.png,85,8,0.938997,0.122007
dumps/cpu-baseline-K640/100007_OUT.png,dataset/BSDS500/ground_truth/100007_3.png,85,13,0.96114,0.0703558
dumps/cpu-baseline-K640/100007_OUT.png,dataset/BSDS500/ground_truth/100007_4.png,85,19,0.93581,0.118516
dumps/cpu-baseline-K640/100039_OUT.png,dataset/BSDS500/ground_truth/100039_0.png,154,11,0.76574,0.46852
dumps/cpu-baseline-K640/100039_OUT.png,dataset/BSDS500/ground_truth/100039_1.png,154,61,0.521337,0.803479
dumps/cpu-baseline-K640/100039_OUT.png,dataset/BSDS500/ground_truth/100039_2.png,154,4,0.774891,0.450217
dumps/cpu-baseline-K640/100039_OUT.png,dataset/BSDS500/ground_truth/100039_3.png,154,5,0.780707,0.438585
dumps/cpu-baseline-K640/100039_OUT.png,dataset/BSDS500/ground_truth/100039_4.png,154,21,0.658273,0.682476
dumps/cpu-baseline-K640/100075_OUT.png,dataset/BSDS500/ground_truth/100075_0.png,95,18,0.661932,0.675863
dumps/cpu-baseline-K640/100075_OUT.png,dataset/BSDS500/ground_truth/100075_1.png,95,5,0.786336,0.427329
dumps/cpu-baseline-K640/100075_OUT.png,dataset/BSDS500/ground_truth/100075_2.png,95,13,0.678428,0.642897
dumps/cpu-baseline-K640/100075_OUT.png,dataset/BSDS500/ground_truth/100075_3.png,95,16,0.653862,0.692275
dumps/cpu-baseline-K640/100075_OUT.png,dataset/BSDS500/ground_truth/100075_4.png,95,30,0.612069,0.719898
dumps/cpu-baseline-K640/100075_OUT.png,dataset/BSDS500/ground_truth/100075_5.png,95,16,0.641285,0.717197
dumps/cpu-baseline-K640/100080_OUT.png,dataset/BSDS500/ground_truth/100080_0.png,52,7,0.798764,0.402471
dumps/cpu-baseline-K640/100080_OUT.png,dataset/BSDS500/ground_truth/100080_1.png,52,35,0.597308,0.649944
dumps/cpu-baseline-K640/100080_OUT.png,dataset/BSDS500/ground_truth/100080_2.png,52,4,0.693746,0.602315
dumps/cpu-baseline-K640/100080_OUT.png,dataset/BSDS500/ground_truth/100080_3.png,52,27,0.633338,0.626201
dumps/cpu-baseline-K640/100080_OUT.png,dataset/BSDS500/ground_truth/100080_4.png,52,12,0.773654,0.452691
dumps/cpu-baseline-K640/100098_OUT.png,dataset/BSDS500/ground_truth/100098_0.png,199,67,0.816102,0.359654
dumps/cpu-baseline-K640/100098_OUT.png,dataset/BSDS500/ground_truth/100098_1.png,199,45,0.816309,0.357504
dumps/cpu-baseline-K640/100098_OUT.png,dataset/BSDS500/ground_truth/100098_2.png,199,22,0.844723,0.303599
dumps/cpu-baseline-K640/100098_OUT.png,dataset/BSDS500/ground_truth/100098_3.png,199,2,0.957539,0.0849217
dumps/cpu-baseline-K640/100098_OUT.png,dataset/BSDS500/ground_truth/100098_4.png,199,24,0.816368,0.350509
dumps/cpu-baseline-K640/100099_OUT.png,dataset/BSDS500/ground_truth/100099_0.png,45,7,0.855888,0.288224
dumps/cpu-baseline-K640/100099_OUT.png,dataset/BSDS500/ground_truth/100099_1.png,45,8,0.758084,0.469421
dumps/cpu-baseline-K640/100099_OUT.png,dataset/BSDS500/ground_truth/100099_2.png,45,4,0.851491,0.297019
dumps/cpu-baseline-K640/100099_OUT.png,dataset/BSDS500/ground_truth/100099_3.png,45,6,0.750474,0.47843
dumps/cpu-baseline-K640/100099_OUT.png,dataset/BSDS500/ground_truth/100099_4.png,45,6,0.748182,0.476713
dumps/cpu-baseline-K640/10081_OUT.png,dataset/BSDS500/ground_truth/10081_0.png,91,20,0.962358,0.0752521
dumps/cpu-baseline-K640/10081_OUT.png,dataset/BSDS500/ground_truth/10081_1.png,91,11,0.960816,0.0783674
dumps/cpu-baseline-K640/10081_OUT.png,dataset/BSDS500/ground_truth/10081_2.png,91,6,0.981542,0.0369169
dumps/cpu-baseline-K640/10081_OUT.png,dataset/BSDS500/ground_truth/10081_3.png,91,16,0.970628,0.0587431
dumps/cpu-baseline-K640/10081_OUT.png,dataset/BSDS500/ground_truth/10081_4.png,91,18,0.925013,0.132836
dumps/cpu-baseline-K640/101027_OUT.png,dataset/BSDS500/ground_truth/101027_0.png,161,9,0.803045,0.393909
dumps/cpu-baseline-K640/101027_OUT.png,dataset/BSDS500/ground_truth/101027_1.png,161,15,0.812236,0.375529
dumps/cpu-baseline-K640/101027_OUT.png,dataset/BSDS500/ground_truth/101027_2.png,161,12,0.78653,0.426603
dumps/cpu-baseline-K640/101027_OUT.png,dataset/BSDS500/ground_truth/101027_3.png,161,12,0.790915,0.41808
dumps/cpu-baseline-K640/101027_OUT.png,dataset/BSDS500/ground_truth/101027_4.png,161,8,0.819826,0.360347
dumps/cpu-baseline-K640/101084_OUT.png,dataset/BSDS500/ground_truth/101084_0.png,173,9,0.77267,0.435308
dumps/cpu-baseline-K640/101084_OUT.png,dataset/BSDS500/ground_truth/101084_1.png,173,23,0.765695,0.450107
dumps/cpu-baseline-K640/101084_OUT.png,dataset/BSDS500/ground_truth/101084_2.png,173,12,0.764561,0.435243
dumps/cpu-baseline-K640/101084_OUT.png,dataset/BSDS500/ground_truth/101084_3.png,173,51,0.700708,0.574666
dumps/cpu-baseline-K640/101084_OUT.png,dataset/BSDS500/ground_truth/101084_4.png,173,18,0.734898,0.510204
dumps/cpu-baseline-K640/101084_OUT.png,dataset/BSDS500/ground_truth/101084_5.png,173,17,0.730714,0.519543
dumps/cpu-baseline-K640/101085_OUT.png,dataset/BSDS500/ground_truth/101085_0.png,161,26,0.703065,0.566
dumps/cpu-baseline-K640/101085_OUT.png,dataset/BSDS500/ground_truth/101085_1.png,161,61,0.672541,0.622787
dumps/cpu-baseline-K640/101085_OUT.png,dataset/BSDS500/ground_truth/101085_2.png,161,41,0.68427,0.602224
dumps/cpu-baseline-K640/101085_OUT.png,dataset/BSDS500/ground_truth/101085_3.png,161,21,0.731245,0.536408
dumps/cpu-baseline-K640/101085_OUT.png,dataset/BSDS500/ground_truth/101085_4.png,161,42,0.694037,0.598409
dumps/cpu-baseline-K640/101087_OUT.png,dataset/BSDS500/ground_truth/101087_0.png,81,29,0.759218,0.431636
dumps/cpu-baseline-K640/101087_OUT.png,dataset/BSDS500/ground_truth/101087_1.png,81,43,0.741919,0.459006
dumps/cpu-baseline-K640/101087_OUT.png,dataset/BSDS500/ground_truth/101087_2.png,81,34,0.746692,0.40694
dumps/cpu-baseline-K640/101087_OUT.png,dataset/BSDS500/ground_truth/101087_3.png,81,57,0.689167,0.479867
dumps/cpu-baseline-K640/101087_OUT.png,dataset/BSDS500/ground_truth/101087_4.png,81,32,0.74585,0.413048
dumps/cpu-baseline-K640/102061_OUT.png,dataset/BSDS500/ground_truth/102061_0.png,98,8,0.909042,0.18189
dumps/cpu-baseline-K640/102061_OUT.png,dataset/BSDS500/ground_truth/102061_1.png,98,12,0.792184,0.415606
dumps/cpu-baseline-K640/102061_OUT.png,dataset/BSDS500/ground_truth/102061_2.png,98,7,0.920538,0.158859
dumps/cpu-baseline-K640/102061_OUT.png,dataset/BSDS500/ground_truth/102061_3.png,98,15,0.887863,0.224195
dumps/cpu-baseline-K640/102061_OUT.png,dataset/BSDS500/ground_truth/102061_4.png,98,19,0.878641,0.238612
dumps/cpu-baseline-K640/102062_OUT.png,dataset/BSDS500/ground_truth/102062_0.png,183,42,0.827417,0.335166
dumps/cpu-baseline-K640/102062_OUT.png,dataset/BSDS500/ground_truth/102062_1.png,183,37,0.83346,0.32016
dumps/cpu-baseline-K640/102062_OUT.png,dataset/BSDS500/ground_truth/102062_2.png,183,8,0.95173,0.0890538
dumps/cpu-baseline-K640/102062_OUT.png,dataset/BSDS500/ground_truth/102062_3.png,183,24,0.834373,0.322958
dumps/cpu-baseline-K640/102062_OUT.png,dataset/BSDS500/ground_truth/102062_4.png,183,57,0.79528,0.356332
dumps/cpu-baseline-K640/103006_OUT.png,dataset/BSDS500/ground_truth/103006_0.png,157,4,0.815455,0.368903
dumps/cpu-baseline-K640/103006_OUT.png,dataset/BSDS500/ground_truth/103006_1.png,157,3,0.817793,0.364175
dumps/cpu-baseline-K640/103006_OUT.png,dataset/BSDS500/ground_truth/103006_2.png,157,23,0.691213,0.539122
dumps/cpu-baseline-K640/103006_OUT.png,dataset/BSDS500/ground_truth/103006_3.png,157,7,0.69519,0.60962
dumps/cpu-baseline-K640/103006_OUT.png,dataset/BSDS500/ground_truth/103006_4.png,157,8,0.703435,0.593131
dumps/cpu-baseline-K640/103029_OUT.png,dataset/BSDS500/ground_truth/103029_0.png,76,12,0.437504,0.945544
dumps/cpu-baseline-K640/103029_OUT.png,dataset/BSDS500/ground_truth/103029_1.png,76,3,0.777644,0.444712
dumps/cpu-baseline-K640/103029_OUT.png,dataset/BSDS500/ground_truth/103029_2.png,76,9,0.426863,0.947034
dumps/cpu-baseline-K640/103029_OUT.png,dataset/BSDS500/ground_truth/103029_3.png,76,7,0.426837,0.949754
dumps/cpu-baseline-K640/103029_OUT.png,dataset/BSDS500/ground_truth/103029_4.png,76,9,0.772314,0.455334
dumps/cpu-baseline-K640/103029_OUT.png,dataset/BSDS500/ground_truth/103029_5.png,76,18,0.425878,0.952099
dumps/cpu-baseline-K640/103029_OUT.png,dataset/BSDS500/ground_truth/103029_6.png,76,8,0.773713,0.452575
dumps/cpu-baseline-K640/103029_OUT.png,dataset/BSDS500/ground_truth/103029_7.png,76,10,0.774179,0.45159
dumps/cpu-baseline-K640/103041_OUT.png,dataset/BSDS500/ground_truth/103041_0.png,126,6,0.728577,0.534446
dumps/cpu-baseline-K640/103041_OUT.png,dataset/BSDS500/ground_truth/103041_1.png,126,11,0.735604,0.528475
dumps/cpu-baseline-K640/103041_OUT.png,dataset/BSDS500/ground_truth/103041_2.png,126,10,0.608753,0.678143
dumps/cpu-baseline-K640/103041_OUT.png,dataset/BSDS500/ground_truth/103041_3.png,126,10,0.734782,0.528513
dumps/cpu-baseline-K640/103041_OUT.png,dataset/BSDS500/ground_truth/103041_4.png,126,13,0.72675,0.532976
dumps/cpu-baseline-K640/103041_OUT.png,dataset/BSDS500/ground_truth/103041_5.png,126,27,0.611492,0.680391
dumps/cpu-baseline-K640/103070_OUT.png,dataset/BSDS500/ground_truth/103070_0.png,119,4,0.707742,0.584517
dumps/cpu-baseline-K640/103070_OUT.png,dataset/BSDS500/ground_truth/103070_1.png,119,17,0.305238,0.867494
dumps/cpu-baseline-K640/103070_OUT.png,dataset/BSDS500/ground_truth/103070_2.png,119,19,0.319454,0.869411
dumps/cpu-baseline-K640/103070_OUT.png,dataset/BSDS500/ground_truth/103070_3.png,119,13,0.370529,0.879917
dumps/cpu-baseline-K640/103070_OUT.png,dataset/BSDS500/ground_truth/103070_4.png,119,10,0.557127,0.876251
dumps/cpu-baseline-K640/103070_OUT.png,dataset/BSDS500/ground_truth/103070_5.png,119,42,0.272569,0.891918
dumps/cpu-baseline-K640/103078_OUT.png,dataset/BSDS500/ground_truth/103078_0.png,116,19,0.85754,0.283554
dumps/cpu-baseline-K640/103078_OUT.png,dataset/BSDS500/ground_truth/103078_1.png,116,15,0.91708,0.164824
dumps/cpu-baseline-K640/103078_OUT.png,dataset/BSDS500/ground_truth/103078_2.png,116,12,0.921756,0.155388
dumps/cpu-baseline-K640/103078_OUT.png,dataset/BSDS500/ground_truth/103078_3.png,116,13,0.815124,0.369136
dumps/cpu-baseline-K640/103078_OUT.png,dataset/BSDS500/ground_truth/103078_4.png,116,9,0.938083,0.123173
dumps/cpu-baseline-K640/104010_OUT.png,dataset/BSDS500/ground_truth/104010_0.png,128,13,0.731589,0.536823
dumps/cpu-baseline-K640/104010_OUT.png,dataset/BSDS500/ground_truth/104010_1.png,128,4,0.729814,0.540372
dumps/cpu-baseline-K640/104010_OUT.png,dataset/BSDS500/ground_truth/104010_2.png,128,44,0.75947,0.480819
dumps/cpu-baseline-K640/104010_OUT.png,dataset/BSDS500/ground_truth/104010_3.png,128,12,0.698337,0.603325
dumps/cpu-baseline-K640/104010_OUT.png,dataset/BSDS500/ground_truth/104010_4.png,128,29,0.483021,0.918602
dumps/cpu-baseline-K640/104022_OUT.png,dataset/BSDS500/ground_truth/104022_0.png,99,34,0.589867,0.805377
dumps/cpu-baseline-K640/104022_OUT.png,dataset/BSDS500/ground_truth/104022_1.png,99,34,0.620436,0.715449
dumps/cpu-baseline-K640/104022_OUT.png,dataset/BSDS500/ground_truth/104022_2.png,99,18,0.721472,0.55396
dumps/cpu-baseline-K640/104022_OUT.png,dataset/BSDS500/ground_truth/104022_3.png,99,53,0.719335,0.554498
dumps/cpu-baseline-K640/104022_OUT.png,dataset/BSDS500/ground_truth/104022_4.png,99,34,0.706278,0.573805
dumps/cpu-baseline-K640/104022_OUT.png,dataset/BSDS500/ground_truth/104022_5.png,99,69,0.653182,0.661524
dumps/cpu-baseline-K640/104022_OUT.png,dataset/BSDS500/ground_truth/104022_6.png,99,21,0.71767,0.561272
dumps/cpu-baseline-K640/104055_OUT.png,dataset/BSDS500/ground_truth/104055_0.png,71,19,0.851374,0.294894
dumps/cpu-baseline-K640/104055_OUT.png,dataset/BSDS500/ground_truth/104055_1.png,71,18,0.800785,0.379849
dumps/cpu-baseline-K640/104055_OUT.png,dataset/BSDS500/ground_truth/104055_2.png,71,11,0.853213,0.286242
dumps/cpu-baseline-K640/104055_OUT.png,dataset/BSDS500/ground_truth/104055_3.png,71,22,0.794917,0.389376
dumps/cpu-baseline-K640/104055_OUT.png,dataset/BSDS500/ground_truth/104055_4.png,71,10,0.832715,0.333482
dumps/cpu-baseline-K640/104055_OUT.png,dataset/BSDS500/ground_truth/104055_5.png,71,14,0.855299,0.286151
dumps/cpu-baseline-K640/105019_OUT.png,dataset/BSDS500/ground_truth/105019_0.png,52,11,0.958588,0.0822663
dumps/cpu-baseline-K640/105019_OUT.png,dataset/BSDS500/ground_truth/105019_1.png,52,7,0.958362,0.0811394
dumps/cpu-baseline-K640/105019_OUT.png,dataset/BSDS500/ground_truth/105019_2.png,52,9,0.959871,0.0793
dumps/cpu-baseline-K640/105019_OUT.png,dataset/BSDS500/ground_truth/105019_3.png,52,7,0.958543,0.0814114
dumps/cpu-baseline-K640/105019_OUT.png,dataset/BSDS500/ground_truth/105019_4.png,52,7,0.958284,0.081787
dumps/cpu-baseline-K640/105019_OUT.png,dataset/BSDS500/ground_truth/105019_5.png,52,9,0.958938,0.0811005
dumps/cpu-baseline-K640/105025_OUT.png,dataset/BSDS500/ground_truth/105025_0.png,103,8,0.757767,0.481538
dumps/cpu-baseline-K640/105025_OUT.png,dataset/BSDS500/ground_truth/105025_1.png,103,5,0.764697,0.464298
dumps/cpu-baseline-K640/105025_OUT.png,dataset/BSDS500/ground_truth/105025_2.png,103,15,0.748926,0.494945
