output,ground_truth,out_N,gt_N,asa_score,ue_score
dumps/gpu-baseline-S5/100007_OUT.png,dataset/BSDS500/ground_truth/100007_0.png,16,5,0.977843,0.0443132
dumps/gpu-baseline-S5/100007_OUT.png,dataset/BSDS500/ground_truth/100007_1.png,16,7,0.966555,0.0668908
dumps/gpu-baseline-S5/100007_OUT.png,dataset/BSDS500/ground_truth/100007_2.png,16,8,0.919094,0.161812
dumps/gpu-baseline-S5/100007_OUT.png,dataset/BSDS500/ground_truth/100007_3.png,16,13,0.944644,0.110712
dumps/gpu-baseline-S5/100007_OUT.png,dataset/BSDS500/ground_truth/100007_4.png,16,19,0.930622,0.138756
dumps/gpu-baseline-S5/100039_OUT.png,dataset/BSDS500/ground_truth/100039_0.png,20,11,0.835228,0.329544
dumps/gpu-baseline-S5/100039_OUT.png,dataset/BSDS500/ground_truth/100039_1.png,20,61,0.647606,0.69484
dumps/gpu-baseline-S5/100039_OUT.png,dataset/BSDS500/ground_truth/100039_2.png,20,4,0.858615,0.28277
dumps/gpu-baseline-S5/100039_OUT.png,dataset/BSDS500/ground_truth/100039_3.png,20,5,0.863252,0.273496
dumps/gpu-baseline-S5/100039_OUT.png,dataset/BSDS500/ground_truth/100039_4.png,20,21,0.724445,0.55111
dumps/gpu-baseline-S5/100075_OUT.png,dataset/BSDS500/ground_truth/100075_0.png,27,18,0.753227,0.476001
dumps/gpu-baseline-S5/100075_OUT.png,dataset/BSDS500/ground_truth/100075_1.png,27,5,0.854684,0.287738
dumps/gpu-baseline-S5/100075_OUT.png,dataset/BSDS500/ground_truth/100075_2.png,27,13,0.758577,0.472089
dumps/gpu-baseline-S5/100075_OUT.png,dataset/BSDS500/ground_truth/100075_3.png,27,16,0.747294,0.482672
dumps/gpu-baseline-S5/100075_OUT.png,dataset/BSDS500/ground_truth/100075_4.png,27,30,0.71085,0.555366
dumps/gpu-baseline-S5/100075_OUT.png,dataset/BSDS500/ground_truth/100075_5.png,27,16,0.729956,0.50999
dumps/gpu-baseline-S5/100080_OUT.png,dataset/BSDS500/ground_truth/100080_0.png,13,7,0.854243,0.291514
dumps/gpu-baseline-S5/100080_OUT.png,dataset/BSDS500/ground_truth/100080_1.png,13,35,0.722171,0.555657
dumps/gpu-baseline-S5/100080_OUT.png,dataset/BSDS500/ground_truth/100080_2.png,13,4,0.85673,0.28654
dumps/gpu-baseline-S5/100080_OUT.png,dataset/BSDS500/ground_truth/100080_3.png,13,27,0.778356,0.443287
dumps/gpu-baseline-S5/100080_OUT.png,dataset/BSDS500/ground_truth/100080_4.png,13,12,0.816439,0.367122
dumps/gpu-baseline-S5/100098_OUT.png,dataset/BSDS500/ground_truth/100098_0.png,24,67,0.759373,0.47001
dumps/gpu-baseline-S5/100098_OUT.png,dataset/BSDS500/ground_truth/100098_1.png,24,45,0.759108,0.466228
dumps/gpu-baseline-S5/100098_OUT.png,dataset/BSDS500/ground_truth/100098_2.png,24,22,0.789444,0.409168
dumps/gpu-baseline-S5/100098_OUT.png,dataset/BSDS500/ground_truth/100098_3.png,24,2,0.930557,0.138885
dumps/gpu-baseline-S5/100098_OUT.png,dataset/BSDS500/ground_truth/100098_4.png,24,24,0.781323,0.411947
dumps/gpu-baseline-S5/100099_OUT.png,dataset/BSDS500/ground_truth/100099_0.png,18,7,0.892196,0.215607
dumps/gpu-baseline-S5/100099_OUT.png,dataset/BSDS500/ground_truth/100099_1.png,18,8,0.865357,0.269176
dumps/gpu-baseline-S5/100099_OUT.png,dataset/BSDS500/ground_truth/100099_2.png,18,4,0.889126,0.220484
dumps/gpu-baseline-S5/100099_OUT.png,dataset/BSDS500/ground_truth/100099_3.png,18,6,0.871082,0.256417
dumps/gpu-baseline-S5/100099_OUT.png,dataset/BSDS500/ground_truth/100099_4.png,18,6,0.867656,0.264538
dumps/gpu-baseline-S5/10081_OUT.png,dataset/BSDS500/ground_truth/10081_0.png,23,20,0.921017,0.157965
dumps/gpu-baseline-S5/10081_OUT.png,dataset/BSDS500/ground_truth/10081_1.png,23,11,0.949178,0.101644
dumps/gpu-baseline-S5/10081_OUT.png,dataset/BSDS500/ground_truth/10081_2.png,23,6,0.942267,0.115466
dumps/gpu-baseline-S5/10081_OUT.png,dataset/BSDS500/ground_truth/10081_3.png,23,16,0.928057,0.143885
dumps/gpu-baseline-S5/10081_OUT.png,dataset/BSDS500/ground_truth/10081_4.png,23,18,0.899819,0.200361
dumps/gpu-baseline-S5/101027_OUT.png,dataset/BSDS500/ground_truth/101027_0.png,18,9,0.823997,0.330108
dumps/gpu-baseline-S5/101027_OUT.png,dataset/BSDS500/ground_truth/101027_1.png,18,15,0.829587,0.304551
dumps/gpu-baseline-S5/101027_OUT.png,dataset/BSDS500/ground_truth/101027_2.png,18,12,0.804101,0.371714
dumps/gpu-baseline-S5/101027_OUT.png,dataset/BSDS500/ground_truth/101027_3.png,18,12,0.813019,0.326507
dumps/gpu-baseline-S5/101027_OUT.png,dataset/BSDS500/ground_truth/101027_4.png,18,8,0.872598,0.254804
dumps/gpu-baseline-S5/101084_OUT.png,dataset/BSDS500/ground_truth/101084_0.png,34,9,0.890933,0.218133
dumps/gpu-baseline-S5/101084_OUT.png,dataset/BSDS500/ground_truth/101084_1.png,34,23,0.878867,0.242265
dumps/gpu-baseline-S5/101084_OUT.png,dataset/BSDS500/ground_truth/101084_2.png,34,12,0.889133,0.221734
