output,ground_truth,out_N,gt_N,asa_score,ue_score
dumps/gpu-baseline-S4/100007_OUT.png,dataset/BSDS500/ground_truth/100007_0.png,80,5,0.982766,0.0344687
dumps/gpu-baseline-S4/100007_OUT.png,dataset/BSDS500/ground_truth/100007_1.png,80,7,0.977364,0.0389829
dumps/gpu-baseline-S4/100007_OUT.png,dataset/BSDS500/ground_truth/100007_2.png,80,8,0.948634,0.102732
dumps/gpu-baseline-S4/100007_OUT.png,dataset/BSDS500/ground_truth/100007_3.png,80,13,0.977338,0.0453235
dumps/gpu-baseline-S4/100007_OUT.png,dataset/BSDS500/ground_truth/100007_4.png,80,19,0.951451,0.088717
dumps/gpu-baseline-S4/100039_OUT.png,dataset/BSDS500/ground_truth/100039_0.png,112,11,0.932481,0.135038
dumps/gpu-baseline-S4/100039_OUT.png,dataset/BSDS500/ground_truth/100039_1.png,112,61,0.807054,0.375555
dumps/gpu-baseline-S4/100039_OUT.png,dataset/BSDS500/ground_truth/100039_2.png,112,4,0.94287,0.114261
dumps/gpu-baseline-S4/100039_OUT.png,dataset/BSDS500/ground_truth/100039_3.png,112,5,0.940169,0.119662
dumps/gpu-baseline-S4/100039_OUT.png,dataset/BSDS500/ground_truth/100039_4.png,112,21,0.862507,0.270937
dumps/gpu-baseline-S4/100075_OUT.png,dataset/BSDS500/ground_truth/100075_0.png,132,18,0.908887,0.180381
dumps/gpu-baseline-S4/100075_OUT.png,dataset/BSDS500/ground_truth/100075_1.png,132,5,0.93706,0.122842
dumps/gpu-baseline-S4/100075_OUT.png,dataset/BSDS500/ground_truth/100075_2.png,132,13,0.90912,0.179474
dumps/gpu-baseline-S4/100075_OUT.png,dataset/BSDS500/ground_truth/100075_3.png,132,16,0.915687,0.165912
dumps/gpu-baseline-S4/100075_OUT.png,dataset/BSDS500/ground_truth/100075_4.png,132,30,0.868848,0.238943
dumps/gpu-baseline-S4/100075_OUT.png,dataset/BSDS500/ground_truth/100075_5.png,132,16,0.900059,0.196495
dumps/gpu-baseline-S4/100080_OUT.png,dataset/BSDS500/ground_truth/100080_0.png,66,7,0.931179,0.137642
dumps/gpu-baseline-S4/100080_OUT.png,dataset/BSDS500/ground_truth/100080_1.png,66,35,0.865726,0.268547
dumps/gpu-baseline-S4/100080_OUT.png,dataset/BSDS500/ground_truth/100080_2.png,66,4,0.932429,0.135142
dumps/gpu-baseline-S4/100080_OUT.png,dataset/BSDS500/ground_truth/100080_3.png,66,27,0.878226,0.241689
dumps/gpu-baseline-S4/100080_OUT.png,dataset/BSDS500/ground_truth/100080_4.png,66,12,0.912514,0.174001
dumps/gpu-baseline-S4/100098_OUT.png,dataset/BSDS500/ground_truth/100098_0.png,86,67,0.823356,0.352543
dumps/gpu-baseline-S4/100098_OUT.png,dataset/BSDS500/ground_truth/100098_1.png,86,45,0.82583,0.34446
dumps/gpu-baseline-S4/100098_OUT.png,dataset/BSDS500/ground_truth/100098_2.png,86,22,0.851989,0.295989
dumps/gpu-baseline-S4/100098_OUT.png,dataset/BSDS500/ground_truth/100098_3.png,86,2,0.949061,0.101878
dumps/gpu-baseline-S4/100098_OUT.png,dataset/BSDS500/ground_truth/100098_4.png,86,24,0.841186,0.311798
dumps/gpu-baseline-S4/100099_OUT.png,dataset/BSDS500/ground_truth/100099_0.png,93,7,0.950123,0.0997532
