gaussian, graph, segmentation, output
2856, 8492, 21926, 8964
2987, 8408, 22573, 9409
2858, 8427, 21901, 8947
2837, 8442, 22485, 9194
2791, 8501, 21985, 9305
2831, 8450, 22562, 9211
2820, 8400, 21827, 9357
2824, 8453, 22672, 9485
2796, 8423, 21755, 8947
2816, 8505, 22408, 9262
2824, 8463, 21957, 8966
2835, 8495, 22420, 10412
2845, 8454, 22011, 9137
2817, 8429, 22357, 9428
2820, 8681, 22041, 9013
2844, 8483, 24930, 10390
2903, 8480, 22083, 9065
2818, 8449, 22554, 9523
2791, 8442, 21759, 9175
2848, 8550, 22617, 9095
