gaussian, graph, segmentation, output
3307, 14399, 35900, 15448
3312, 14359, 35885, 15348
3290, 14369, 36839, 15525
3519, 14434, 35942, 15482
3703, 14421, 36544, 15475
3301, 14383, 35914, 15090
3260, 14370, 36803, 15510
3270, 14425, 36107, 15349
3263, 14418, 37189, 17436
3373, 14427, 35884, 15900
3297, 14413, 36587, 15966
3294, 14416, 35809, 15324
3262, 14418, 36712, 15957
3294, 14433, 35994, 15896
3254, 14625, 36586, 15458
3292, 14413, 36057, 16020
3511, 14433, 36765, 15543
3671, 14439, 36080, 15088
3313, 14410, 36775, 15467
3268, 14400, 35988, 15846
