gaussian, graph, segmentation, output
4518, 26350, 64343, 31803
4608, 26335, 64594, 32984
4584, 26348, 65769, 35706
4611, 26361, 63253, 31906
4584, 26595, 63250, 31156
4581, 26372, 63248, 31362
4525, 26436, 63366, 31351
4522, 26474, 63377, 31843
4524, 26410, 63455, 31666
4515, 26361, 63147, 31245
4583, 26353, 63231, 31804
4529, 26400, 63279, 31289
4544, 26380, 63336, 31632
4471, 26444, 63231, 31806
4527, 26389, 63123, 31111
4509, 26396, 63244, 31919
4597, 26366, 63455, 31176
4575, 26390, 63352, 31486
4555, 26416, 63251, 31059
4530, 26426, 63231, 31888
