gaussian, graph, segmentation, output
7035, 50118, 120724, 61299
6857, 50174, 120432, 61261
6803, 50149, 118351, 62842
6847, 50164, 117954, 73552
6847, 50143, 118296, 65564
6896, 50157, 117670, 61417
6851, 50110, 118128, 63027
6838, 50130, 117685, 62803
6839, 50116, 118134, 61723
6886, 50150, 117793, 61366
6803, 50120, 118443, 62961
6812, 50208, 117693, 70693
6950, 50166, 118065, 62906
6847, 50185, 117681, 65416
6906, 50132, 120209, 71175
6911, 50191, 117711, 63041
6881, 50144, 118140, 65713
6855, 50146, 117786, 65400
6804, 50175, 118346, 71292
6916, 50110, 117763, 65687
