gaussian, graph, segmentation, output
11755, 96840, 227777, 190147
11845, 96686, 226222, 187276
11697, 96687, 232437, 189407
11727, 96677, 226270, 187301
11702, 96725, 227299, 190453
11708, 96657, 226302, 187259
11678, 96765, 227222, 206020
11810, 96717, 226482, 187305
11715, 96700, 227314, 190382
11730, 96598, 226411, 187291
11726, 96706, 227425, 190486
11743, 96579, 226428, 187287
11690, 96630, 227322, 190372
11688, 96584, 227798, 184097
11764, 96693, 227301, 187264
11715, 96605, 226247, 184052
11763, 96652, 227403, 187255
11708, 96617, 226568, 184023
11737, 96717, 227484, 187253
11750, 96566, 226518, 184043
